action_id,plan_id,stage,scan_id,reason,original_rel_path,duplicate_rel_path,duplicate_abs_path,quarantine_rel_path,size,content_hash,status,created_at
PLAN-strict-20260518-130235-000011,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-silence-isnt-distance/export-ready/06-chapter-01-overloaded-mind.md,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/export-ready/06-chapter-01-overloaded-mind.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-silence-isnt-distance\export-ready\06-chapter-01-overloaded-mind.md,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/export-ready/06-chapter-01-overloaded-mind.md,7352,10cd3b7960b7729dfc5079a360062115780bd699861f9a717bea315d8912334b,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000012,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,"30_pending_review/from_10_flow_10_workbench/creastive/_OLAA - Origins of Light, Awakening of Angela/OLAA a6629951ee294046b09e3817951571c1/University Bound e1c80ecdcbb446d3b093f191aaf8a52c/Screenshot_2024-07-11_020829.png","30_pending_review/from_10_flow_10_workbench/creastive/_OLAA - Origins of Light, Awakening of Angela/OLAA a6629951ee294046b09e3817951571c1/Chapter 10 The Power of Community 3c0c7d7637ea4cbeb4560fea3bb3c851/Screenshot_2024-07-11_020829.png","G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\_OLAA - Origins of Light, Awakening of Angela\OLAA a6629951ee294046b09e3817951571c1\Chapter 10 The Power of Community 3c0c7d7637ea4cbeb4560fea3bb3c851\Screenshot_2024-07-11_020829.png","_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/_OLAA - Origins of Light, Awakening of Angela/OLAA a6629951ee294046b09e3817951571c1/Chapter 10 The Power of Community 3c0c7d7637ea4cbeb4560fea3bb3c851/Screenshot_2024-07-11_020829.png",1481147,114822977ab32f42d206ee509173b4a65d0374e563ae4a15ff9b05a487fe77ac,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000013,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-silence-isnt-distance/export-ready/09-chapter-04-science-of-withdrawal.md,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/export-ready/09-chapter-04-science-of-withdrawal.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-silence-isnt-distance\export-ready\09-chapter-04-science-of-withdrawal.md,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/export-ready/09-chapter-04-science-of-withdrawal.md,6679,12a009ec5f9d9df3dfaae0ac280a7c485e987e692afbe4b229674954ba3615d5,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000014,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-stripping/IMG_2040.jpeg,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2040.jpeg,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-stripping\IMG_2040.jpeg,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2040.jpeg,4027322,1383173668578ed234887dc9de56f3523559232f26de4b4be3445fe2ff8f19ab,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000015,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-stripping/IMG_2027.jpeg,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2027.jpeg,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-stripping\IMG_2027.jpeg,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2027.jpeg,4133524,14e1c03d4559f8f975fef78716cfcf3bf2e16d93f36bc569deb6dabcb89bd268,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000016,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-stripping/IMG_2109.jpeg,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2109.jpeg,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-stripping\IMG_2109.jpeg,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2109.jpeg,3484796,153b0387b8d893eba3c6e225e50822d166dd5595db4d030b9f965efd3c246490,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000017,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/QsManual-to-me/communications.md,30_pending_review/from_10_flow_10_workbench/creastive/qistory/QsManual-to-me/communications.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\QsManual-to-me\communications.md,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/QsManual-to-me/communications.md,1936,157c4fb957d35e2420b15c852b046c97e2f1c798540aa9b38dfa270d748fe26c,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000018,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-stripping/IMG_2065.jpeg,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2065.jpeg,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-stripping\IMG_2065.jpeg,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2065.jpeg,3183350,16b2bbb00ea8a76a7254c9e57e1b4aa193682327b7dc1726d3439acf4ed28fe7,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000019,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-stripping/IMG_2051.jpeg,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2051.jpeg,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-stripping\IMG_2051.jpeg,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2051.jpeg,3056232,1778990021536a43327b5d7df5135fd393b5166917305a3437a4f9de9dcc2e90,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000020,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/QSaysIt-Docs/2025-12-04_qially_com_blog_technical_spec.md,30_pending_review/from_10_flow_10_workbench/creastive/QSaysIt-Docs/2025-12-04_qially_com_blog_technical_spec.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\QSaysIt-Docs\2025-12-04_qially_com_blog_technical_spec.md,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/QSaysIt-Docs/2025-12-04_qially_com_blog_technical_spec.md,11069,17bd02b72c4432964c344cfc3af7c2685f70f2d1e00b0e92162d93640d7076dd,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000021,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/QsManual-to-me/10 9b Focus Irregularities and How They Impact Dai.md,30_pending_review/from_10_flow_10_workbench/creastive/qistory/QsManual-to-me/10 9b Focus Irregularities and How They Impact Dai.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\QsManual-to-me\10 9b Focus Irregularities and How They Impact Dai.md,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/QsManual-to-me/10 9b Focus Irregularities and How They Impact Dai.md,1481,1875501ecde80f7a84a0d1dc91cce0a50456c5e748855e30078548ba91d3fdde,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000022,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-stripping/IMG_2074.jpeg,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2074.jpeg,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-stripping\IMG_2074.jpeg,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2074.jpeg,4096781,1aa03dfc79e3a6e743ad70cbc0d6242122a258ef1dbd6425f38e2c2f70f57ece,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000023,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/QsManual-to-me/07 How to Support Me Needs & Triggers.md,30_pending_review/from_10_flow_10_workbench/creastive/qistory/QsManual-to-me/07 How to Support Me Needs & Triggers.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\QsManual-to-me\07 How to Support Me Needs & Triggers.md,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/QsManual-to-me/07 How to Support Me Needs & Triggers.md,2092,1bad78ad83328891e19152e28cad3c4677524feab4b8a16eedd8df55708d97ac,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000024,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-mirrors-between/0_Mirrors-Between-Us_Loving-Disclaimer-and-Purpose_20251126_181923.md,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-mirrors-between/0_Mirrors-Between-Us_Loving-Disclaimer-and-Purpose_20251126_181923.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-mirrors-between\0_Mirrors-Between-Us_Loving-Disclaimer-and-Purpose_20251126_181923.md,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-mirrors-between/0_Mirrors-Between-Us_Loving-Disclaimer-and-Purpose_20251126_181923.md,10601,1bafb54ee350169ab853efa7af97207eac5c6c9c8014b169c5e10b76aa52a917,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000025,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-silence-isnt-distance/export-ready/01-title-page.md,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/export-ready/01-title-page.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-silence-isnt-distance\export-ready\01-title-page.md,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/export-ready/01-title-page.md,152,1ef25c977886d4488f0fdddd9e840ad4fae9ebcc7786cd9a41271521317d0d0b,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000026,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-silence-isnt-distance/export-ready/13-chapter-08-projection-mirror.md,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/export-ready/13-chapter-08-projection-mirror.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-silence-isnt-distance\export-ready\13-chapter-08-projection-mirror.md,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/export-ready/13-chapter-08-projection-mirror.md,4048,1fba6e92d388e64441bb1b14b28092f56a34c065c1022464afd04c49cdaf37f6,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000027,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-stripping/IMG_2046.jpeg,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2046.jpeg,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-stripping\IMG_2046.jpeg,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2046.jpeg,3966206,21506a82556a2c399fe24aa27b5b4255ecead861c10a2bd33c92b9a11a5c2a39,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000028,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-silence-isnt-distance/assets/cover.png,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/assets/cover.png,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-silence-isnt-distance\assets\cover.png,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/assets/cover.png,2573806,216f9e6ef898c9c7151be13e56c793bba695f741518d18267ddbf9b47e01a8b2,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000029,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/QSaysIt-Docs/the-onion-effect/07_inherited-onions.md,30_pending_review/from_10_flow_10_workbench/creastive/QSaysIt-Docs/the-onion-effect/07_inherited-onions.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\QSaysIt-Docs\the-onion-effect\07_inherited-onions.md,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/QSaysIt-Docs/the-onion-effect/07_inherited-onions.md,2225,23deab34f4b16029bb474c5d3e764ff1d8b788fcc5fb9f667fedd505333dd21d,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000030,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-silence-isnt-distance/export-ready/16-chapter-11-what-people-get-wrong.md,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/export-ready/16-chapter-11-what-people-get-wrong.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-silence-isnt-distance\export-ready\16-chapter-11-what-people-get-wrong.md,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/export-ready/16-chapter-11-what-people-get-wrong.md,4077,23e45bdf1560bb1022cb25e72c56cb642ed48302c0bbac357bfc54d9da0d6959,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000031,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-silence-isnt-distance/Silence Isn’t Distance-merged.docx,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/Silence Isn’t Distance-merged.docx,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-silence-isnt-distance\Silence Isn’t Distance-merged.docx,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-silence-isnt-distance/Silence Isn’t Distance-merged.docx,55921,24c5185333ab63312b5c6819a2c12a98ba038b41987466ebe4024e0049faa768,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000032,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-stripping/IMG_2072.jpeg,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2072.jpeg,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-stripping\IMG_2072.jpeg,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2072.jpeg,3873725,24da78cbc1aa40c9edfa59b5372b8361bd59418b586a7577dfaff8e53a8660d3,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000033,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/QsManual-to-me/11-Manual to Me Cody’s Guide to Understanding & Co 9.md,30_pending_review/from_10_flow_10_workbench/creastive/qistory/QsManual-to-me/11-Manual to Me Cody’s Guide to Understanding & Co 9.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\QsManual-to-me\11-Manual to Me Cody’s Guide to Understanding & Co 9.md,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/QsManual-to-me/11-Manual to Me Cody’s Guide to Understanding & Co 9.md,2522,265780e5d460f56d8ea6104d0d337dae8b70b7b884b15c6aeee1394447792c75,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000034,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/QSaysIt-Docs/README.md,30_pending_review/from_10_flow_10_workbench/creastive/QSaysIt-Docs/README.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\QSaysIt-Docs\README.md,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/QSaysIt-Docs/README.md,1014,28bade76d4aeba81da0600dfa17ed90bbba5b4bd4804c1a8ae21a8a731e9a798,planned,2026-05-18T18:02:35+00:00
PLAN-strict-20260518-130235-000035,PLAN-strict-20260518-130235,strict,SCAN-20260518-123600,same file name + same size + same content hash,30_pending_review/from_10_flow_10_workbench/qistory/qistory-stripping/IMG_2021.jpeg,30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2021.jpeg,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_10_workbench\creastive\qistory\qistory-stripping\IMG_2021.jpeg,_QIDEDUPE_QUARANTINE/strict/30_pending_review/from_10_flow_10_workbench/creastive/qistory/qistory-stripping/IMG_2021.jpeg,4149586,29225ce321b3b30ebe6ef80ba108d0e9f8427b2bac024b116e866f82afd0e47b,planned,2026-05-18T18:02:35+00:00
